"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04935","Organismal Systems","Endocrine system","mmu04935","Growth hormone synthesis, secretion and action - Mus musculus (house mouse)","3/138","117/10649",0.193726877039049,0.435353533492774,0.329012117079559,"Itpr1/Plcb1/Creb5",3
"mmu04014","Environmental Information Processing","Signal transduction","mmu04014","Ras signaling pathway - Mus musculus (house mouse)","5/138","237/10649",0.193961074502473,0.435353533492774,0.329012117079559,"Ntrk2/Rac3/Gng7/Grin2b/Gnb2",5
"mmu04330","Environmental Information Processing","Signal transduction","mmu04330","Notch signaling pathway - Mus musculus (house mouse)","2/138","63/10649",0.196467235627508,0.435353533492774,0.329012117079559,"Atxn1/Rbpj",2
"mmu04929","Organismal Systems","Endocrine system","mmu04929","GnRH secretion - Mus musculus (house mouse)","2/138","63/10649",0.196467235627508,0.435353533492774,0.329012117079559,"Itpr1/Plcb1",2
"mmu03265","Genetic Information Processing","Information processing in viruses","mmu03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus - Mus musculus (house mouse)","1/138","17/10649",0.199012648221273,0.435911799216626,0.329434018301364,"Ncam2",1
"mmu00310","Metabolism","Amino acid metabolism","mmu00310","Lysine degradation - Mus musculus (house mouse)","2/138","64/10649",0.201190061176904,0.435911799216626,0.329434018301364,"Mecom/Prdm16",2
"mmu05221","Human Diseases","Cancer: specific types","mmu05221","Acute myeloid leukemia - Mus musculus (house mouse)","2/138","70/10649",0.229768216966575,0.48969409090331,0.370079205001152,"Tcf7l2/Runx1t1",2
"mmu05132","Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection - Mus musculus (house mouse)","5/138","253/10649",0.231035160836433,0.48969409090331,0.370079205001152,"Tcf7l2/Tubb2b/Dync1i1/Tuba1a/Ahnak",5
"mmu05223","Human Diseases","Cancer: specific types","mmu05223","Non-small cell lung cancer - Mus musculus (house mouse)","2/138","72/10649",0.239360799410589,0.49746130666084,0.375949165627625,"Rarb/Rxrg",2
"mmu00532","Metabolism","Glycan biosynthesis and metabolism","mmu00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Mus musculus (house mouse)","1/138","21/10649",0.239801860646764,0.49746130666084,0.375949165627625,"Chsy3",1
"mmu04062","Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway - Mus musculus (house mouse)","4/138","194/10649",0.243744777033591,0.500318226542634,0.378108241381748,"Rac3/Plcb1/Gng7/Gnb2",4
"mmu00430","Metabolism","Metabolism of other amino acids","mmu00430","Taurine and hypotaurine metabolism - Mus musculus (house mouse)","1/138","22/10649",0.249672705888648,0.501919357198829,0.379318272646889,"Gad2",1
"mmu04964","Organismal Systems","Excretory system","mmu04964","Proximal tubule bicarbonate reclamation - Mus musculus (house mouse)","1/138","22/10649",0.249672705888648,0.501919357198829,0.379318272646889,"Atp1a2",1
"mmu00230","Metabolism","Nucleotide metabolism","mmu00230","Purine metabolism - Mus musculus (house mouse)","3/138","135/10649",0.254991017459574,0.507380085761397,0.383445139036953,"Pde7b/Pde10a/Gucy1b1",3
"mmu04210","Cellular Processes","Cell growth and death","mmu04210","Apoptosis - Mus musculus (house mouse)","3/138","136/10649",0.258482118392541,0.509131445318642,0.384768703614628,"Itpr1/Tuba1a/Lmna",3
"mmu00562","Metabolism","Carbohydrate metabolism","mmu00562","Inositol phosphate metabolism - Mus musculus (house mouse)","2/138","77/10649",0.263414200970054,0.513657691891605,0.388189348797974,"Plcb1/Inpp4b",2
"mmu05012","Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease - Mus musculus (house mouse)","5/138","274/10649",0.282439488194988,0.545303962356661,0.412105558596127,"Tubb2b/Itpr1/Gnal/Drd2/Tuba1a",5
"mmu04012","Environmental Information Processing","Signal transduction","mmu04012","ErbB signaling pathway - Mus musculus (house mouse)","2/138","84/10649",0.297093709238305,0.562566326049075,0.425151339524267,"Nrg3/Nrg1",2
"mmu00650","Metabolism","Carbohydrate metabolism","mmu00650","Butanoate metabolism - Mus musculus (house mouse)","1/138","27/10649",0.29715041837464,0.562566326049075,0.425151339524267,"Gad2",1
"mmu05226","Human Diseases","Cancer: specific types","mmu05226","Gastric cancer - Mus musculus (house mouse)","3/138","150/10649",0.307886196819849,0.570289828155821,0.430988264193333,"Tcf7l2/Rarb/Rxrg",3
"mmu05415","Human Diseases","Cardiovascular disease","mmu05415","Diabetic cardiomyopathy - Mus musculus (house mouse)","4/138","217/10649",0.310003701459062,0.570289828155821,0.430988264193333,"Col1a1/Plcb1/Col1a2/Col3a1",4
"mmu05417","Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis - Mus musculus (house mouse)","4/138","217/10649",0.310003701459062,0.570289828155821,0.430988264193333,"Itpr1/Rxrg/Plcb1/Pou2f2",4
"mmu04081",NA,NA,"mmu04081","Hormone signaling - Mus musculus (house mouse)","4/138","220/10649",0.318810793801873,0.579628355230044,0.43804572055172,"Plcb1/Gng7/Drd2/Gnb2",4
"mmu03320","Organismal Systems","Endocrine system","mmu03320","PPAR signaling pathway - Mus musculus (house mouse)","2/138","89/10649",0.321024935204332,0.579628355230044,0.43804572055172,"Dbi/Rxrg",2
"mmu04912","Organismal Systems","Endocrine system","mmu04912","GnRH signaling pathway - Mus musculus (house mouse)","2/138","90/10649",0.325789882057154,0.582835110102248,0.440469179024641,"Itpr1/Plcb1",2
"mmu05167","Human Diseases","Infectious disease: viral","mmu05167","Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse)","4/138","224/10649",0.330585576390963,0.586038067238526,0.442889767413731,"Tcf7l2/Itpr1/Gng7/Gnb2",4
"mmu04390","Environmental Information Processing","Signal transduction","mmu04390","Hippo signaling pathway - Mus musculus (house mouse)","3/138","158/10649",0.336328560530166,0.589718911187434,0.44567151182856,"Tcf7l2/Dlg2/Ccnd2",3
"mmu00410","Metabolism","Metabolism of other amino acids","mmu00410","beta-Alanine metabolism - Mus musculus (house mouse)","1/138","32/10649",0.341644325408933,0.589718911187434,0.44567151182856,"Gad2",1
"mmu05222","Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer - Mus musculus (house mouse)","2/138","94/10649",0.344758748078808,0.589718911187434,0.44567151182856,"Rarb/Rxrg",2
"mmu05416","Human Diseases","Cardiovascular disease","mmu05416","Viral myocarditis - Mus musculus (house mouse)","2/138","94/10649",0.344758748078808,0.589718911187434,0.44567151182856,"Sgcz/Rac3",2
"mmu04710","Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm - Mus musculus (house mouse)","1/138","34/10649",0.358648535892082,0.608143169556139,0.45959537780221,"Rora",1
"mmu05231","Human Diseases","Cancer: overview","mmu05231","Choline metabolism in cancer - Mus musculus (house mouse)","2/138","98/10649",0.36355616079347,0.61115044271316,0.461868080862847,"Dgki/Rac3",2
"mmu04916","Organismal Systems","Endocrine system","mmu04916","Melanogenesis - Mus musculus (house mouse)","2/138","100/10649",0.372880581816175,0.621467636360292,0.46966515028578,"Tcf7l2/Plcb1",2
"mmu05170","Human Diseases","Infectious disease: viral","mmu05170","Human immunodeficiency virus 1 infection - Mus musculus (house mouse)","4/138","243/10649",0.386676837382729,0.630703799967659,0.476645246939121,"Itpr1/Rac3/Gng7/Gnb2",4
"mmu05142","Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease - Mus musculus (house mouse)","2/138","103/10649",0.386764166398687,0.630703799967659,0.476645246939121,"Plcb1/Gnal",2
"mmu05010","Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease - Mus musculus (house mouse)","6/138","389/10649",0.391357617284982,0.630703799967659,0.476645246939121,"Grm5/Tubb2b/Itpr1/Plcb1/Tuba1a/Grin2b",6
"mmu04960","Organismal Systems","Excretory system","mmu04960","Aldosterone-regulated sodium reabsorption - Mus musculus (house mouse)","1/138","38/10649",0.391359793826086,0.630703799967659,0.476645246939121,"Atp1a2",1
"mmu04659","Organismal Systems","Immune system","mmu04659","Th17 cell differentiation - Mus musculus (house mouse)","2/138","105/10649",0.395946340725497,0.63286505279895,0.478278582412162,"Rxrg/Rora",2
"mmu00250","Metabolism","Amino acid metabolism","mmu00250","Alanine, aspartate and glutamate metabolism - Mus musculus (house mouse)","1/138","39/10649",0.399275385990066,0.632997563154983,0.47837872519135,"Gad2",1
"mmu04145","Cellular Processes","Transport and catabolism","mmu04145","Phagosome - Mus musculus (house mouse)","3/138","183/10649",0.42427906053474,0.667213038744148,0.504236574489504,"Tubb2b/Dync1i1/Tuba1a",3
"mmu00513","Metabolism","Glycan biosynthesis and metabolism","mmu00513","Various types of N-glycan biosynthesis - Mus musculus (house mouse)","1/138","44/10649",0.437346169813816,0.682260024909553,0.515608115991025,"Mgat4c",1
"mmu04814","Cellular Processes","Cell motility","mmu04814","Motor proteins - Mus musculus (house mouse)","3/138","198/10649",0.475224810126187,0.735466968052433,0.555818491375658,"Tubb2b/Dync1i1/Tuba1a",3
"mmu04152","Environmental Information Processing","Signal transduction","mmu04152","AMPK signaling pathway - Mus musculus (house mouse)","2/138","127/10649",0.492282732717626,0.755867188031,0.571235661669852,"Eef2/Creb5",2
"mmu04750","Organismal Systems","Sensory system","mmu04750","Inflammatory mediator regulation of TRP channels - Mus musculus (house mouse)","2/138","130/10649",0.504671368757823,0.767033075429228,0.579674119082817,"Itpr1/Plcb1",2
"mmu04071","Environmental Information Processing","Signal transduction","mmu04071","Sphingolipid signaling pathway - Mus musculus (house mouse)","2/138","131/10649",0.50875774230601,0.767033075429228,0.579674119082817,"Rac3/Plcb1",2
"mmu00510","Metabolism","Glycan biosynthesis and metabolism","mmu00510","N-Glycan biosynthesis - Mus musculus (house mouse)","1/138","55/10649",0.512877007898708,0.767033075429228,0.579674119082817,"Mgat4c",1
